  aeroplane|■■■                                     |0.09
    bicycle|■■■■■■■■■■■■                            |0.30
       bird|■■■■■■■■■■■■■                           |0.34
       boat|■■■■■■■■■                               |0.25
     bottle|■■■■■                                   |0.14
        bus|■■■■■■■■■■■■■■■                         |0.39
        car|■■■■■■■■■■■■■■■■                        |0.42
        cat|■■■■■■■■■■■■■■■■■■■■                    |0.52
      chair|■■■■■■■                                 |0.18
        cow|■■■■■■■■■                               |0.24
diningtable|■■■■                                    |0.11
        dog|■■■■■■■■■■■■■■■                         |0.39
      horse|■■■■■■■■■■                              |0.25
  motorbike|■■■■■■■■■■■■                            |0.31
     person|■■■■■■■■■                               |0.24
pottedplant|■■■■■                                   |0.13
      sheep|■■■■■■■■■■■■                            |0.32
       sofa|■■■■■■■■■■■                             |0.30
      train|■■■■■■■■■■■■■■■■■■■■■■■                 |0.59
  tvmonitor|■■■■■■■■■■■■                            |0.31
mAP50: 0.2909
